id,owner_id,locality,city,sqftsuper,type,totalrooms,rent,status,latitude,longitude,gender,tag_as
266,2359,Electronic City,bengaluru,1550,flat,3,33000,blocked,12.8361003,77.6729773,0,marketplace
267,2398,wakad,pune,0,flat,4,35000,partial,18.6022,73.759659,0,marketplace
268,2390,Hinjewadi,pune,0,flat,1,16500,occupied,18.59066,73.743176,1,marketplace
269,2390,Hinjewadi,pune,0,flat,1,16500,blocked,18.59066,73.743176,0,marketplace
270,2444,Harlur,bengaluru,0,flat,3,39000,available,12.895455,77.6668704,1,marketplace
271,2461,Thanisandra,bengaluru,0,flat,4,85000,blocked,13.0398047,77.6124624,0,marketplace
272,2482,Electronic City,bengaluru,0,flat,2,22000,available,12.7995085,77.6563883,0,marketplace
273,2501,Varthur,bengaluru,0,flat,3,28000,blocked,12.935376,77.744022,0,marketplace
274,2502,Bagalur,bengaluru,0,flat,2,25000,available,13.1211188,77.6133981,0,marketplace
275,2503,Lotte Golla Halli,bengaluru,0,flat,4,40000,available,13.045021,77.566175,0,marketplace
276,2504,Varthur,bengaluru,1500,flat,4,50000,blocked,12.9299576,77.7401083,0,marketplace
277,2505,Hosur Road,bengaluru,1836,flat,3,60000,partial,12.9024372,77.6313115,1,marketplace
278,2523,Koramangala,bengaluru,0,flat,5,90000,available,12.9402838,77.6218653,1,marketplace
279,2547,Doddakamanhalli,bengaluru,0,flat,3,477000,occupied,12.8608295,77.6016389,2,marketplace
280,2547,Hulimavu,bengaluru,0,flat,3,530000,available,12.8608295,77.6016389,1,marketplace
281,2547,VV Puram,bengaluru,0,flat,10,675000,occupied,12.9516351,77.5751311,2,marketplace
282,2548,Electronic City,bengaluru,0,flat,2,28000,available,12.8358007,77.6650783,0,marketplace
283,2511,JP Nagar,bengaluru,1200,flat,2,22000,blocked,12.9096063,77.5719493,0,managed
284,2564,Electronic City,bengaluru,1090,flat,2,13100,occupied,12.8268197,77.690406,1,managed
285,2125,Thyvakanahally,bengaluru,0,flat,5,3000,occupied,12.8341919,77.7805698,1,managed
286,2591,Vivek Nagar,bengaluru,1000,flat,2,26000,available,12.9535855,77.6195189,0,marketplace
287,2615,Whitefield,bengaluru,1000,flat,2,23000,available,12.9718591,77.766954,0,marketplace
288,2616,Electronic City,bengaluru,1342,flat,3,25000,available,12.8322016,77.6610866,0,marketplace
289,2617,Bannerghatta,bengaluru,1750,flat,3,45000,blocked,12.8755992,77.6102083,0,marketplace
290,2626,Whitefield,bengaluru,1272,flat,2,30000,occupied,12.9852588,77.7518918,0,managed
291,2639,HSR Layout,bengaluru,1200,flat,3,23000,occupied,12.9015983,77.650356,0,managed
292,2640,Sahakar Nagar,bengaluru,2000,flat,3,40000,available,13.0633563,77.5783238,0,marketplace
293,2641,Brookefield,bengaluru,1200,flat,3,46200,available,12.9657069,77.7215251,2,marketplace
294,2645,Bannerghatta,bengaluru,2000,flat,3,34000,occupied,12.8715634,77.5920763,0,managed
295,2655,Sahakar Nagar,bengaluru,1000,flat,2,25000,available,13.0633666,77.5832653,0,marketplace
296,2655,Sahakar Nagar,bengaluru,1000,flat,2,25000,available,13.0633666,77.5832653,0,marketplace
297,2655,Sahakar Nagar,bengaluru,1000,flat,2,25000,available,13.0633666,77.5832653,0,marketplace
298,2655,Sahakar Nagar,bengaluru,1000,flat,2,25000,available,13.0633666,77.5832653,0,marketplace
299,2655,Sahakar Nagar,bengaluru,1000,flat,2,25000,available,13.0633666,77.5832653,0,marketplace
300,2655,Sahakar Nagar,bengaluru,1000,flat,2,25000,available,13.0633666,77.5832653,0,marketplace
301,2770,Brookefield,bengaluru,2527,villa,4,50000,available,12.8995119,77.7041704,1,marketplace
302,2771,Brookefield,bengaluru,2527,villa,4,50000,available,12.8995119,77.7041704,2,marketplace
303,2129,Panathur,bengaluru,1000,flat,2,25000,available,12.8995119,77.7041704,0,marketplace
304,2772,Electronic City,bengaluru,1200,flat,3,25000,available,12.8995119,77.7041704,2,marketplace
305,2773,Kanakapura,bengaluru,2500,flat,3,35000,available,12.8652648,77.5206788,0,marketplace
306,2547,Doddakammanahalli,bengaluru,0,flat,23,408000,occupied,12.8665113,77.6019964,1,marketplace
307,2828,Whitefield,bengaluru,2000,flat,3,55000,available,12.9850691,77.7492334,1,marketplace
308,2842,Baner,pune,0,flat,4,6500,blocked,18.5558346,73.7632628,0,marketplace
309,2842,Baner,pune,0,flat,3,39000,available,18.5558346,73.7632628,0,marketplace
310,2843,Fursungi,pune,0,flat,1,18000,available,18.4714005,73.9730285,0,marketplace
311,2868,Income Tax Layout,bengaluru,500,flat,3,53000,available,12.996266,77.656367,2,marketplace
312,2869,HSR Layout,bengaluru,3200,flat,5,80000,available,12.910056,77.631361,1,marketplace
313,2870,Amruthahalli,bengaluru,1720,flat,3,40000,available,13.0665509,77.5957702,0,marketplace
314,2870,Amruthahalli,bengaluru,1720,flat,3,40000,available,13.0665509,77.5957702,0,marketplace
315,2876,Koregaon Park Annex,pune,0,flat,4,52000,blocked,18.5316539,73.9107048,0,managed
316,2876,Koregaon Park Annex,pune,0,flat,4,52000,available,18.5316539,73.9107048,0,managed
317,2895,Electronic City,bengaluru,1028,flat,3,25000,available,12.8535131,77.650247,0,marketplace
318,771,Sarjapur Main Road,bengaluru,1447,flat,3,30000,available,12.898186,77.702837,0,marketplace
