id,Page,Removed,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
239,/property/239,,345,311,0:01:27,87,73.56%,39.42%,$0.00 
240,/property/240,,84,78,0:02:41,31,80.65%,46.43%,$0.00 
241,/property/241,,233,227,0:03:34,137,92.70%,67.81%,$0.00 
243,/property/243,,138,117,0:01:35,18,61.11%,24.64%,$0.00 
244,/property/244,,23,23,0:01:18,3,33.33%,17.39%,$0.00 
245,/property/245,,17,17,0:00:27,5,100.00%,41.18%,$0.00 
246,/property/246,,126,50,0:00:02,29,6.90%,7.14%,$0.00 
247,/property/247,,70,65,0:01:54,40,82.50%,57.14%,$0.00 
248,/property/248,,78,74,0:00:49,8,50.00%,20.51%,$0.00 
249,/property/249,,31,31,0:01:47,8,75.00%,41.94%,$0.00 
250,/property/250,,1,1,0:00:00,0,0.00%,0.00%,$0.00 
251,/property/251,,8,1,0:00:00,0,0.00%,0.00%,$0.00 
252,/property/252,,5,5,<00:00:01,1,0.00%,0.00%,$0.00 
253,/property/253,,1,1,0:00:00,1,0.00%,0.00%,$0.00 
254,/property/254,,5,5,0:00:26,3,0.00%,0.00%,$0.00 
256,/property/256,,6,6,0:00:00,3,0.00%,16.67%,$0.00 
257,/property/257,,697,646,0:01:22,170,70.59%,38.74%,$0.00 
258,/property/258,,220,199,0:01:47,114,80.70%,60.00%,$0.00 
259,/property/259,,100,87,0:02:45,54,74.07%,56.00%,$0.00 
260,/property/260,,279,255,0:01:03,16,56.25%,20.79%,$0.00 
261,/property/261,,457,397,0:02:12,285,77.89%,63.68%,$0.00 
262,/property/262,,85,77,0:01:47,32,90.62%,49.41%,$0.00 
263,/property/263,,78,64,0:00:58,22,54.55%,38.46%,$0.00 
264,/property/264,,468,421,0:01:59,302,76.82%,65.60%,$0.00 
265,/property/265,,125,119,0:01:21,4,75.00%,24.00%,$0.00 
266,/property/266,,13,12,0:01:52,4,75.00%,46.15%,$0.00 
267,/property/267,,90,87,0:00:56,7,85.71%,32.22%,$0.00 
268,/property/268,,22,21,0:00:42,0,0.00%,27.27%,$0.00 
270,/property/270,,376,332,0:01:59,198,78.28%,58.78%,$0.00 
271,/property/271,,27,23,0:00:37,9,66.67%,55.56%,$0.00 
272,/property/272,,196,165,0:01:02,87,66.67%,46.43%,$0.00 
273,/property/273,,27,26,0:01:09,4,25.00%,25.93%,$0.00 
274,/property/274,,48,40,0:03:52,7,42.86%,35.42%,$0.00 
275,/property/275,,132,126,0:00:34,12,75.00%,25.00%,$0.00 
276,/property/276,,14,14,0:00:24,7,28.57%,42.86%,$0.00 
277,/property/277,,244,228,0:01:06,11,54.55%,22.13%,$0.00 
278,/property/278,,294,285,0:01:13,22,36.36%,24.15%,$0.00 
279,/property/279,,11,9,0:01:35,0,0.00%,9.09%,$0.00 
280,/property/280,,6,6,0:00:30,0,0.00%,16.67%,$0.00 
281,/property/281,,82,65,0:02:24,13,84.62%,29.27%,$0.00 
282,/property/282,,140,115,0:01:12,15,46.67%,22.14%,$0.00 
283,/property/283,,15,13,0:02:58,5,20.00%,33.33%,$0.00 
284,/property/284,,58,52,0:01:03,7,100.00%,31.03%,$0.00 
285,/property/285,,13,11,0:00:30,3,33.33%,30.77%,$0.00 
286,/property/286,,118,107,0:01:43,12,83.33%,24.58%,$0.00 
287,/property/287,,72,66,0:01:33,12,83.33%,30.56%,$0.00 
288,/property/288,,100,87,0:01:24,16,68.75%,30.00%,$0.00 
289,/property/289,,17,16,0:00:39,2,0.00%,17.65%,$0.00 
290,/property/290,,80,73,0:01:09,9,77.78%,27.50%,$0.00 
291,/property/291,,322,264,0:00:59,20,70.00%,20.50%,$0.00 
292,/property/292,,34,30,0:00:46,6,16.67%,32.35%,$0.00 
293,/property/293,,63,55,0:01:43,7,100.00%,25.40%,$0.00 
294,/property/294,,49,46,0:01:22,15,80.00%,42.86%,$0.00 
295,/property/295,,12,12,0:00:34,1,0.00%,25.00%,$0.00 
296,/property/296,,10,7,0:04:08,2,50.00%,20.00%,$0.00 
297,/property/297,,6,6,0:00:18,1,100.00%,16.67%,$0.00 
298,/property/298,,9,9,0:00:33,1,100.00%,33.33%,$0.00 
299,/property/299,,6,6,0:02:44,1,100.00%,33.33%,$0.00 
300,/property/300,,10,10,0:00:18,2,100.00%,40.00%,$0.00 
301,/property/301,,10,9,0:00:39,1,100.00%,20.00%,$0.00 
302,/property/302,,17,17,0:03:50,3,66.67%,52.94%,$0.00 
303,/property/303,,37,32,0:00:36,3,100.00%,32.43%,$0.00 
304,/property/304,,7,7,0:00:21,1,100.00%,42.86%,$0.00 
305,/property/305,,3,3,0:00:00,1,100.00%,100.00%,$0.00 
306,/property/306,,4,4,0:00:24,0,0.00%,25.00%,$0.00 
309,/property/309,,20,19,0:00:35,1,100.00%,5.00%,$0.00 
310,/property/310,,13,13,0:00:42,3,66.67%,38.46%,$0.00 
311,/property/311,,8,8,0:01:00,1,100.00%,50.00%,$0.00 
312,/property/312,,36,31,0:01:10,1,0.00%,22.22%,$0.00 
313,/property/313,,13,13,0:00:22,1,0.00%,23.08%,$0.00 
314,/property/314,,17,13,0:01:15,1,100.00%,23.53%,$0.00 
315,/property/315,,26,5,0:00:27,2,0.00%,3.85%,$0.00 
316,/property/316,,86,74,0:01:04,6,83.33%,27.91%,$0.00 
317,/property/317,,4,3,0:00:10,0,0.00%,25.00%,$0.00 
318,/property/318,,11,9,0:01:20,1,0.00%,9.09%,$0.00 
380,/property/380,,2,1,0:00:38,0,0.00%,0.00%,$0.00 
