id,owner_id,locality,city,sqftsuper,type,totalrooms,status,latitude,longitude,gender,tag_as,rent
231,1924,mundhwa,pune,1100,flat,2,partial,18.5314441,73.9114753,1,marketplace,30000
94,972,Mundhwa,pune,1400,flat,3,blocked,18.527631,73.944924,0,marketplace,26000
220,1823,mundhwa,pune,2000,house,5,blocked,18.5332414,73.9169852,1,marketplace,45000
51,467,New Thippasandra,bengaluru,600,house,1,blocked,12.972803,77.655353,0,managed,18000
63,759,NGEF Layout,bengaluru,1350,house,3,blocked,12.996604,77.656282,2,marketplace,35000
108,1107,Outer Ring Road,bengaluru,1750,flat,3,available,12.9205364,77.6937961,1,marketplace,47000
303,2129,Panathur,bengaluru,1000,flat,2,available,12.8995119,77.7041704,0,marketplace,25000
212,1737,Phurusngi,pune,1100,flat,2,blocked,18.484035,73.957059,2,marketplace,21000
82,803,Pimple Saudagar,pune,1200,flat,2,blocked,18.593741,73.794757,0,marketplace,25000
77,862,Rahatani,pune,5000,flat,9,blocked,18.602806,73.797667,0,marketplace,7500
295,2655,Sahakar Nagar,bengaluru,1000,flat,2,available,13.0633666,77.5832653,0,marketplace,25000
296,2655,Sahakar Nagar,bengaluru,1000,flat,2,available,13.0633666,77.5832653,0,marketplace,25000
297,2655,Sahakar Nagar,bengaluru,1000,flat,2,available,13.0633666,77.5832653,0,marketplace,25000
298,2655,Sahakar Nagar,bengaluru,1000,flat,2,available,13.0633666,77.5832653,0,marketplace,25000
299,2655,Sahakar Nagar,bengaluru,1000,flat,2,available,13.0633666,77.5832653,0,marketplace,25000
300,2655,Sahakar Nagar,bengaluru,1000,flat,2,available,13.0633666,77.5832653,0,marketplace,25000
292,2640,Sahakar Nagar,bengaluru,2000,flat,3,available,13.0633563,77.5783238,0,marketplace,40000
155,1414,Sarjapur road,bengaluru,282,flat,1,blocked,12.9198409,77.6683616,1,marketplace,15500
169,1414,Sarjapur road,bengaluru,112,flat,1,blocked,12.9198409,77.6683616,0,marketplace,11000
9,797,Sarjapur road,bengaluru,336,flat,2,blocked,12.918184,77.669517,1,managed,23590
156,1414,Sarjapur road,bengaluru,278,flat,2,blocked,12.9198409,77.6683616,1,marketplace,15000
161,1414,Sarjapur road,bengaluru,217,flat,2,blocked,12.9198409,77.6683616,0,marketplace,13500
163,1414,Sarjapur road,bengaluru,170,flat,2,blocked,12.9198409,77.6683616,0,marketplace,12500
164,1414,Sarjapur road,bengaluru,167,flat,2,blocked,12.9198409,77.6683616,0,marketplace,12500
165,1414,Sarjapur road,bengaluru,130,flat,2,blocked,12.9198409,77.6683616,0,marketplace,12500
166,1414,Sarjapur road,bengaluru,140,flat,2,blocked,12.9198409,77.6683616,0,marketplace,12000
167,1414,Sarjapur road,bengaluru,115,flat,2,blocked,12.9198409,77.6683616,0,marketplace,13000
168,1414,Sarjapur road,bengaluru,151,flat,2,blocked,12.9198409,77.6683616,0,marketplace,13000
170,1414,Sarjapur road,bengaluru,330,flat,2,blocked,12.9198409,77.6683616,0,marketplace,14500
171,1414,Sarjapur road,bengaluru,272,flat,2,blocked,12.9198409,77.6683616,1,marketplace,14000
260,2290,Sarjapur road,bengaluru,1050,flat,2,available,12.9026286,77.7047542,0,marketplace,24000
23,804,Sarjapur road,bengaluru,1920,flat,3,blocked,12.918245,77.66948,1,marketplace,69700
28,349,Sarjapur road,bengaluru,1925,flat,3,partial,12.910867,77.682427,1,managed,43000
36,802,Sarjapur road,bengaluru,3083,house,3,occupied,12.9097252,77.6728556,1,managed,39139
41,771,Sarjapur road,bengaluru,1447,flat,3,partial,12.898186,77.702837,1,managed,22050
129,1271,Sarjapur road,bengaluru,1800,flat,3,partial,12.90093,77.6738,1,marketplace,42000
176,1511,Sarjapur road,bengaluru,1600,flat,3,blocked,12.9166373,77.6710103,1,marketplace,45000
318,771,Sarjapur road,bengaluru,1447,flat,3,available,12.898186,77.702837,0,marketplace,30000
37,802,Sarjapur road,bengaluru,3359,house,4,occupied,12.90573,77.700959,1,managed,51818
103,1058,Sarjapur road,bengaluru,2134,flat,4,partial,12.917848,77.67517,1,marketplace,57000
178,1518,Sarjapur road,bengaluru,2035,flat,4,available,12.9097252,77.6728556,0,marketplace,60000
64,774,Sultan Palya,bengaluru,3000,flat,4,blocked,13.027386,77.6051685,0,marketplace,60000
98,1051,Thanisandra,bengaluru,1720,flat,3,available,13.0772208,77.6367349,0,marketplace,42000
243,911,Thanisandra,bengaluru,933,flat,3,available,13.0830728,77.6406423,0,marketplace,24500
244,911,Thanisandra,bengaluru,933,flat,3,occupied,13.0830728,77.6406423,0,marketplace,25500
30,2125,Thyvakanahally,bengaluru,4500,villa,5,blocked,12.834246,77.782726,2,marketplace,35000
1,442,Ulsoor,bengaluru,1800,flat,3,blocked,12.976728,77.625949,1,managed,31800
90,774,Ulsoor,bengaluru,1340,flat,3,occupied,12.976728,77.625949,2,managed,33863
132,1293,Undri,pune,1000,flat,2,blocked,18.450423,73.924711,0,marketplace,13000
135,1308,Undri,pune,1450,flat,3,blocked,18.4521,73.91395,0,marketplace,27000
247,2067,Varthur,bengaluru,1250,flat,2,occupied,12.9440504,77.7543801,1,marketplace,27000
276,2504,Varthur,bengaluru,1500,flat,4,blocked,12.9299576,77.7401083,0,marketplace,50000
158,1600,Viman Nagar,pune,1500,flat,3,occupied,18.567363,73.917675,1,managed,38000
149,1410,Viman Nagar,pune,3500,villa,5,blocked,18.568477,73.914526,1,marketplace,79000
264,2345,Vittasandra,bengaluru,1405,flat,3,available,12.8600076,77.641529,0,marketplace,32000
286,2591,Vivek Nagar,bengaluru,1000,flat,2,available,12.9535855,77.6195189,0,marketplace,26000
250,2130,Wagholi,pune,950,flat,1,blocked,18.570833,73.977432,0,marketplace,14000
27,120,Wagholi,pune,865,flat,2,blocked,18.585016,73.96996,0,managed,11000
40,806,Wagholi,pune,917,flat,2,available,18.571841,73.976455,0,marketplace,13500
221,1833,Wagholi,pune,1600,flat,3,blocked,18.58275,73.97205,0,marketplace,36000
32,120,Wakad,pune,1346,flat,2,blocked,18.590896,73.760496,0,managed,21500
120,1147,Wakad,pune,1000,flat,2,blocked,18.602964,73.767885,0,marketplace,15000
219,1412,Wakad,pune,1000,flat,2,blocked,18.592115,73.769648,0,marketplace,22000
154,1438,Wakad,pune,1400,flat,3,partial,18.601982,73.759675,1,marketplace,34000
172,1487,Wakad,pune,1400,flat,4,occupied,18.6019,73.7596,2,marketplace,42000
2,120,Whitefield,bengaluru,450,flat,0,blocked,12.963743,77.732867,0,managed,12000
49,120,Whitefield,bengaluru,2400,flat,1,blocked,13.020816,77.761856,1,managed,9900
47,438,Whitefield,bengaluru,1200,flat,2,blocked,13.008087,77.756746,1,marketplace,25000
184,1593,Whitefield,bengaluru,1000,flat,2,blocked,12.983964,77.7520049,0,marketplace,20000
242,348,Whitefield,bengaluru,1300,flat,2,occupied,12.9621546,77.7461421,0,managed,30000
287,2615,Whitefield,bengaluru,1000,flat,2,available,12.9718591,77.766954,0,marketplace,23000
290,2626,Whitefield,bengaluru,1272,flat,2,occupied,12.9852588,77.7518918,0,managed,30000
4,120,Whitefield,bengaluru,1450,flat,3,blocked,12.963745,77.732865,0,managed,12000
54,528,Whitefield,bengaluru,1530,flat,3,blocked,12.982625,77.746682,1,marketplace,45000
58,632,Whitefield,bengaluru,1852,flat,3,available,12.982727,77.755101,1,marketplace,40000
85,942,Whitefield,bengaluru,1839,flat,3,available,12.984999,77.752045,1,marketplace,52000
91,961,Whitefield,bengaluru,2245,flat,3,blocked,12.962995,77.750582,0,marketplace,58000
105,1068,Whitefield,bengaluru,2023,flat,3,occupied,12.985013,77.752131,1,managed,38850
130,1288,Whitefield,bengaluru,2100,flat,3,available,12.991473,77.7268256,0,marketplace,49000
134,1294,Whitefield,bengaluru,1200,flat,3,blocked,12.9800749,77.7546106,0,marketplace,37000
147,1395,Whitefield,bengaluru,1600,flat,3,available,12.983954,77.754194,1,marketplace,37000
148,1396,Whitefield,bengaluru,1800,flat,3,blocked,12.983954,77.754194,0,marketplace,37000
152,1417,Whitefield,bengaluru,1800,flat,3,available,12.987328,77.725396,1,marketplace,40000
160,1475,Whitefield,bengaluru,1740,flat,3,available,12.9849884,77.7498673,2,marketplace,47000
218,1799,Whitefield,bengaluru,1760,flat,3,partial,12.98731,77.723366,1,marketplace,43000
257,2277,Whitefield,bengaluru,1830,flat,3,available,12.9850691,77.7492334,1,managed,39000
307,2828,Whitefield,bengaluru,2000,flat,3,available,12.9850691,77.7492334,1,marketplace,55000
11,773,Whitefield,bengaluru,2400,flat,4,blocked,13.020816,77.761856,1,managed,40600
13,773,Whitefield,bengaluru,2400,flat,4,blocked,13.020816,77.761856,2,managed,40600
18,351,Whitefield,bengaluru,2400,flat,4,blocked,13.020816,77.761856,0,marketplace,24000
